第零天：10 月 10 日（五） - 台灣出發,,,,,,
10:00-11:00,前往哈爾格林姆教堂,步行,1 小時,可搭電梯至頂樓鳥瞰市區，非常適合團體拍照留念。,哈爾格林姆教堂,"https://www.google.com/maps/place/%E5%93%88%E7%88%BE%E6%A0%BC%E6%9E%97%E5%A7%86%E6%95%99%E5%A0%82/@64.1407837,-21.9322967,14.75z/data=!4m14!1m7!3m6!1s0x48d61d66aff7df0d:0xf3747a894416f06e!2sBlue+Lagoon!8m2!3d63.8807176!4d-22.4472964!16zL20vMDdranE2!3m5!1s0x48d674cca0432db5:0xf7af28c4489daaef!8m2!3d64.1420229!4d-21.9265493!16s%2Fg%2F1tknk0hk?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
11:00-12:30,逛街與漫步,步行,1.5 小時,從教堂前往主街 Laugavegur，可在此區尋找 66°NORTH 旗艦店採購。,Laugavegur 主街,"https://www.google.com/maps/place/%E5%BD%A9%E8%99%B9%E8%A1%97/@64.146022,-21.9505739,15z/data=!4m6!3m5!1s0x48d6759540b92add:0x591dd913dbbce787!8m2!3d64.146022!4d-21.9325495!16s%2Fg%2F11j7hmxhy9?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
12:30-14:00,午餐時間,步行,1.5 小時,可選擇在市區餐廳用餐，或是在港口邊享用當地特色熱狗 Bæjarins Beztu Pylsur。,,
14:00-15:30,前往哈帕音樂廳,步行,1.5 小時,欣賞建築之美，並從內部觀賞舊港口風景。,哈帕音樂廳,"https://www.google.com/maps/place/%E5%93%88%E5%B8%95%E9%9F%B3%E6%A8%82%E5%BB%B3/@64.1465905,-21.9418029,14.5z/data=!3m1!5s0x48d674d304183cfd:0xe4e452f87a590a78!4m6!3m5!1s0x48d675a9d316864b:0xc1f29c378b85e65b!8m2!3d64.1502464!4d-21.9322804!16s%2Fg%2F12q4tv44j?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
15:30-17:00,舊港口漫步,步行,1.5 小時,可以在舊港口散步，欣賞漁船與海景。,舊港口,"https://www.google.com/maps/place/%E5%A4%AA%E9%99%BD%E8%88%AA%E6%B5%B7%E8%80%85/@64.1465905,-21.9418029,14.5z/data=!4m6!3m5!1s0x48d674ce090ce6cf:0xd87b3a7b999ca6a8!8m2!3d64.1476306!4d-21.9222846!16s%2Fm%2F0bbth05?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
17:00-18:00,返回住宿處,步行,1 小時,返回 Airbnb 休息，準備晚餐。,,
18:00,晚餐時間,步行,依個人喜好,可在市區享受晚餐，或在 Airbnb 準備晚餐，享受團體時光。,,
,,,,,,
第三天：10 月 13 日（一） - 黃金圈與南岸精華,,,,,,
時間,行程,建議交通時間,建議停留時間,備註與建議,guideKey,
07:30-08:00,前往 Sandholt 買早餐,步行,30 分鐘,提早出發。在離開市區前，到知名的 Sandholt 烘焙坊購買麵包與咖啡當作早餐與路上點心。,Sandholt,"https://www.google.com/maps/place/Sandholt/@64.1465905,-21.9418029,14.5z/data=!4m6!3m5!1s0x48d674c7c735704b:0xa9e2be015da85d40!8m2!3d64.145055!4d-21.9263179!16s%2Fg%2F1tfm67c4?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
08:00,從 雷克雅維克市區 出發,,,為今天的長途駕駛和多個景點預留充足時間。,,
08:45-10:00,辛格維利爾國家公園,45 分鐘,1.5 小時,建議步行路線：停車場（P1）→ 板塊裂縫峽谷步道 → 觀景台。感受「漫步在兩大洲之間」。,辛格維利爾國家公園,"https://www.google.com/maps/place/%C3%9Eingvellir+Parking+P1/@64.2347248,-21.1889165,12.75z/data=!4m6!3m5!1s0x48d680de61a8a143:0xb2221d3aa2438d0!8m2!3d64.2556419!4d-21.1363954!16s%2Fg%2F11cr_kld8t?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
11:00-11:45,蓋錫爾 & 史托克間歇泉,1 小時,45 分鐘,等待 Strokkur 間歇泉每 6-10 分鐘一次的噴發。請務必站在安全繩索外。,蓋錫爾間歇泉,"https://www.google.com/maps/place/Geysir+Parking/@64.2935113,-20.8958484,9.75z/data=!4m6!3m5!1s0x48d6a39c00e216f3:0x960b0610bcf18252!8m2!3d64.3092721!4d-20.3033773!16s%2Fg%2F11g8nyqfs8?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
12:00-13:00,古佛斯瀑布,15 分鐘,1 小時,瀑布氣勢磅礡，需特別注意地面濕滑。,古佛斯瀑布,"https://www.google.com/maps/place/Gullfoss+falls+Car+Park/@64.3112153,-20.8468546,9.75z/data=!4m6!3m5!1s0x48d6a50bf5fb8c8f:0x987f8a02ec18b291!8m2!3d64.3252353!4d-20.129885!16s%2Fg%2F11cnbr_zgs?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
13:00-14:00,午餐時間,,1 小時,建議在古佛斯瀑布的遊客中心餐廳用餐，節省時間。,,
15:30-16:00,塞里雅蘭瀑布,1.5 小時,30 分鐘,可走到水幕後方，務必穿著防水衣物。10月步道可能因結冰關閉，請注意安全標示。,塞里雅蘭瀑布,"https://www.google.com/maps/place/%E5%A1%9E%E9%87%8C%E9%9B%85%E8%98%AD%E7%80%91%E5%B8%83/@64.0036239,-21.0870615,9z/data=!4m6!3m5!1s0x48d71eade8ef2415:0xae01e6205209178d!8m2!3d63.6156232!4d-19.9885688!16zL20vMDMyZ2tq?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
16:30-17:00,斯科加爾瀑布,30 分鐘,30 分鐘,冰島最經典的瀑布之一。可爬上階梯從高處俯瞰全景。,斯科加爾瀑布,"https://www.google.com/maps/place/%E6%96%AF%E7%A7%91%E5%8A%A0%E7%88%BE%E7%80%91%E5%B8%83/@63.7423759,-20.3839365,9z/data=!4m6!3m5!1s0x48d73b7639a58c15:0xf60c71fcdfe7948!8m2!3d63.5320523!4d-19.5113705!16zL20vMDMyZ2pi?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
17:30-18:00,前往 黑沙灘 (Reynisfjara),30 分鐘,30 分鐘,極度危險：注意瘋狗浪(Sneaker Waves)，務必與海邊保持至少30公尺安全距離，<b>絕對不要背對海浪</b>。日落時間約 17:50。,雷尼斯黑沙灘,"https://www.google.com/maps/place/%E9%BB%91%E6%B2%99%E7%81%98/@63.7423759,-20.3839365,9z/data=!4m6!3m5!1s0x48d74984d567267d:0xe07954a3f4b36bd5!8m2!3d63.4057404!4d-19.0716193!16s%2Fg%2F1tfg77rb?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
18:15,抵達 維克,15 分鐘,,在維克採購明後天健行的水、零食及午餐。入住 The Barn。,,
19:00,晚餐時間,,,在住宿處準備晚餐，為隔天健行做準備。,,
,,,,,,
第四天：10 月 14 日（二） - 冰川健行與冰河湖巡禮,,,,,,
時間,行程,建議交通時間,建議停留時間,備註與建議,guideKey,
08:00,從 維克 出發,,,務必提早出發，為中途的景點預留充足時間。,,
08:20-09:00,迪霍拉里 (Dyrhólaey),20 分鐘,40 分鐘,早上光線較好，適合觀賞海蝕洞與燈塔。10月海鸚已離島，但仍可欣賞壯闊海景。,迪霍拉里,"https://www.google.com/maps/place/Dyrh%C3%B3laey+Lighthouse/@63.7423759,-20.3839365,9z/data=!4m6!3m5!1s0x48d749b24af469bd:0x8a6a81c6d585ae9c!8m2!3d63.4022252!4d-19.1301885!16s%2Fm%2F0zmxv8j?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
10:00-11:00,羽毛峽谷 (Fjaðrárgljúfur),1 小時,1 小時,彈性選擇：景色壯麗，但若時間不足可跳過，確保準時抵達冰川健行集合點。,羽毛峽谷,"https://www.google.com/maps/place/Fja%C3%B0r%C3%A1rglj%C3%BAfur+%E7%BE%BD%E6%AF%9B%E6%B2%B3%E5%B3%BD%E8%B0%B7/@63.6742478,-19.5517222,9z/data=!4m6!3m5!1s0x48d0e5f0594291dd:0xa420ecc17165b5bd!8m2!3d63.771279!4d-18.1718158!16s%2Fm%2F0n46q1l?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
11:00-12:00,抵達 斯卡夫塔費爾,1 小時,,直接前往 Arctic Adventures 報到處，並找時間享用午餐。,,
12:20-13:00,報到、領取裝備、簡報,,40 分鐘,必須在 12:40 前抵達！,,"https://www.google.com/maps/place/Arctic+Adventures+(Skaftafell+Base+Camp)/@63.8357376,-17.9500186,9z/data=!4m6!3m5!1s0x48d035752cf8237d:0x739fbb08be6d396c!8m2!3d64.0160975!4d-16.9682083!16s%2Fg%2F11fr65jd8f?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
13:00-17:00,「Glacier Wonders」冰川健行,,4 小時,盡情享受冰川上的奇景，穿著保暖防水的衣物與登山鞋。,冰川健行,
17:45-18:15,抵達 鑽石沙灘,45 分鐘,30 分鐘,在鑽石沙灘上尋找閃閃發光的浮冰。若當天時間不足，可考慮隔天再前往。,鑽石沙灘,"https://www.google.com/maps/place/%E9%91%BD%E7%9F%B3%E5%86%B0%E6%B2%99%E7%81%98/@63.9956242,-16.684542,9.75z/data=!4m6!3m5!1s0x48cfd719a4fb06f3:0x4202e865f907845a!8m2!3d64.044334!4d-16.1776622!16s%2Fg%2F11bxdvx0kx?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
18:30,抵達 哈利鄉村旅館 (Hali Country Hotel),15 分鐘,,入住住宿地點，享用晚餐及準備隔天午餐。,,"https://www.google.com/maps/place/Hali+Country+Hotel+%26+Restaurant/@63.9956242,-16.684542,9.75z/data=!4m9!3m8!1s0x48cfd204d9b15729:0x6d3e138302375d85!5m2!4m1!1i2!8m2!3d64.1296971!4d-16.0176781!16s%2Fg%2F1hdz1msl7?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
,,,,,,
第五天：10 月 15 日（三） - 冰河船與東南岸的寧靜小鎮,,,,,,
時間,行程,建議交通時間,建議停留時間,備註與建議,guideKey,
07:00,在 哈利鄉村旅館 用早餐,,,享受悠閒的早餐時光，為今天的行程做準備。,,
08:30-16:00,「Glacier Adventure」冰河船與冰洞探險,15 分鐘,7.5 小時,活動地點位於哈利，此為全日行程，包含冰川健行與Zodiac快艇遊湖。,冰河船與冰洞探險,"https://www.google.com/maps/place/Glacier+Adventure/@64.1310418,-16.0128244,14.25z/data=!4m6!3m5!1s0x48cfd2047bba7a8d:0xb154e754a6ae821f!8m2!3d64.1287765!4d-16.0169658!16s%2Fg%2F11cnx5ggf3?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
17:00-18:00,前往 赫本民宿 - The GreyHouse,1 小時,,結束活動後，開車前往赫本。,,"https://www.google.com/maps/place/The+GreyHouse/@64.2640169,-15.2372852,12.5z/data=!4m6!3m5!1s0x48cfadc2884e95bb:0x351a745f2602532a!8m2!3d64.3050642!4d-15.2070814!16s%2Fg%2F11ks2sllj5?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
18:00,抵達 赫本 (Höfn)，自由活動,,依個人喜好,探索這個美麗的小鎮，或在超市準備晚餐食材。,赫本,"https://www.google.com/maps/place/Nett%C3%B3/@64.2542497,-15.2249051,14z/data=!4m15!1m8!3m7!1s0x48cfac585a9c079f:0xb0ee81c829dbe0ed!2z5Yaw5bO26LWr5pys!3b1!8m2!3d64.255149!4d-15.2087961!16zL20vMDkyNDAy!3m5!1s0x48cfac574779df29:0x634dd9f45f5b488d!8m2!3d64.252561!4d-15.2127278!16s%2Fg%2F1s04f8cq8?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
19:00,晚餐時間,,,赫本以新鮮龍蝦聞名，推薦品嚐。,,
,,,,,,
第六天：10 月 16 日（四） - 東部峽灣的挑戰與美景,,,,,,
時間,行程,建議交通時間,建議停留時間,備註與建議,guideKey,
08:00,從 赫本 (Höfn) 出發,,,今天是長途車程，務必提早出發，並隨時注意路況。,,
11:30-12:30,在 埃伊爾斯塔濟 用午餐,3.5 小時,1 小時,長途駕駛，中途可在都皮沃古爾（Djúpivogur）稍作休息，欣賞港口的蛋型雕塑。,埃伊爾斯塔濟,"https://www.google.com/maps/place/B%C3%B3nus/@65.039206,-14.8181282,9z/data=!4m6!3m5!1s0x48cc0481d1188913:0xa594f9d222a3475a!8m2!3d65.2634206!4d-14.4050197!16s%2Fg%2F11bwpn90t4?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
12:30-13:00,前往 塞濟斯菲厄澤 (Seyðisfjörður),30 分鐘,,路況警告：此路段(93號公路)在十月可能會有積雪或濃霧，務必在出發前上 road.is 查詢路況。,,
13:00-14:00,塞濟斯菲厄澤小鎮探索,,1 小時,欣賞東部最美小鎮的彩虹階梯與藍色教堂。,塞濟斯菲厄澤,"https://www.google.com/maps/place/%E5%86%B0%E5%B3%B6%E5%A1%9E%E6%BF%9F%E6%96%AF%E8%8F%B2%E5%8E%84%E6%BE%A4/@65.039206,-14.8181282,9z/data=!4m6!3m5!1s0x48cbfefc843cd699:0xefc553adda96809d!8m2!3d65.2602307!4d-14.0095466!16zL20vMDY2eDlk?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
14:00-15:00,返回 埃伊爾斯塔濟,30 分鐘,30 分鐘,返回埃伊爾斯塔濟，準備前往米湖地區，可先在超市採買。,,"https://www.google.com/maps/place/B%C3%B3nus/@65.039206,-14.8181282,9z/data=!4m6!3m5!1s0x48cc0481d1188913:0xa594f9d222a3475a!8m2!3d65.2634206!4d-14.4050197!16s%2Fg%2F11bwpn90t4?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
15:00-17:30,前往 雷恰利茲 (Reykjahlíð) 補給,2.5 小時,,這裡有小型超市和加油站，可以在此處採買缺少的食材。,,"https://www.google.com/maps/place/Kramb%C3%BA%C3%B0in+Reykjahl%C3%AD%C3%B0/@65.6562549,-17.0182347,11.75z/data=!4m15!1m8!3m7!1s0x48cbfefc843cd699:0xefc553adda96809d!2z5Yaw5bO25aGe5r-f5pav6I-y5Y6E5r6k!3b1!8m2!3d65.2602307!4d-14.0095466!16zL20vMDY2eDlk!3m5!1s0x48cd9e5d7a9a6a2f:0x2c3c5e61aa887a05!8m2!3d65.6417062!4d-16.9106404!16s%2Fg%2F1thcmc1m?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
17:30-18:00,前往 Guesthouse Helluland,30 分鐘,,從雷恰利茲前往住宿地點。,,"https://www.google.com/maps/place/Guesthouse+Helluland/@65.8551149,-17.9917301,9.75z/data=!4m15!1m8!3m7!1s0x48cbfefc843cd699:0xefc553adda96809d!2z5Yaw5bO25aGe5r-f5pav6I-y5Y6E5r6k!3b1!8m2!3d65.2602307!4d-14.0095466!16zL20vMDY2eDlk!3m5!1s0x48cd7b907ede82f3:0x28f7e09ab4e05f3!8m2!3d65.8211975!4d-17.3782125!16s%2Fg%2F11v10_klb1?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
18:00,抵達 Guesthouse Helluland,,,入住後準備晚餐，並在夜晚尋找極光。請準備隔天午餐。,,
,,,,,,
第七天：10 月 17 日（五） - 米湖地區與北部溫泉,,,,,,
時間,行程,建議交通時間,建議停留時間,備註與建議,guideKey,
08:00,從 Guesthouse Helluland 出發,,,務必在天亮後出發。,,
08:30-9:30,胡薩維克（Húsavík）,30 分鐘,1 小時,在知名的賞鯨小鎮漫步，購買點心咖啡。,胡薩維克,"https://www.google.com/maps/place/%E5%86%B0%E5%B3%B6%E8%83%A1%E8%96%A9%E7%B6%AD%E5%85%8B/@65.8551149,-17.9917301,9.75z/data=!4m15!1m8!3m7!1s0x48cbfefc843cd699:0xefc553adda96809d!2z5Yaw5bO25aGe5r-f5pav6I-y5Y6E5r6k!3b1!8m2!3d65.2602307!4d-14.0095466!16zL20vMDY2eDlk!3m5!1s0x48cd42159e4b2c3b:0x30afb44cc03c202f!8m2!3d66.047451!4d-17.343908!16zL20vMDMzYzYx?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
11:00-12:00,前往 黛提瀑布（Dettifoss）,1.5 小時,1 小時,建議走862公路前往西岸觀景點，欣賞歐洲水量最大的瀑布。,黛提瀑布,"https://www.google.com/maps/place/%E9%BB%9B%E6%8F%90%E7%80%91%E5%B8%83/@65.8964478,-17.1898645,8.75z/data=!4m15!1m8!3m7!1s0x48cbfefc843cd699:0xefc553adda96809d!2z5Yaw5bO25aGe5r-f5pav6I-y5Y6E5r6k!3b1!8m2!3d65.2602307!4d-14.0095466!16zL20vMDY2eDlk!3m5!1s0x48cd068ace5f4fb9:0x404278759828237a!8m2!3d65.8146662!4d-16.384576!16zL20vMDJybHB2?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
12:30-13:30,前往 克拉夫拉火山與維提火山湖,1 小時,,可以在車上或是米湖周邊簡單用餐。,,
13:30-14:30,克拉夫拉火山與維提火山湖探索,,1 小時,近距離欣賞這座火山與美麗的火山口湖。,克拉夫拉火山,"https://www.google.com/maps/place/%E5%85%8B%E6%8B%89%E5%A4%AB%E6%8B%89%E7%81%AB%E5%B1%B1/@65.8964478,-17.1898645,8.75z/data=!4m15!1m8!3m7!1s0x48cbfefc843cd699:0xefc553adda96809d!2z5Yaw5bO25aGe5r-f5pav6I-y5Y6E5r6k!3b1!8m2!3d65.2602307!4d-14.0095466!16zL20vMDY2eDlk!3m5!1s0x48cd0a865dc5cee1:0xbc54b48a5353b22b!8m2!3d65.7171196!4d-16.75442!16zL20vMDMxcHBj?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
15:30-17:00,眾神瀑布 (Goðafoss),1 小時,1.5 小時,若時間不足可隔天早上再訪。,眾神瀑布,"https://www.google.com/maps/place/Go%C3%B0afoss+Waterfall/@65.6855673,-17.5591716,14z/data=!4m6!3m5!1s0x48cd7e6a481f369f:0x7ebbcdaa4e0d1d3b!8m2!3d65.6827782!4d-17.5501918!16zL20vMDJybDVf?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
17:00-17:30,前往 阿克雷里,30 分鐘,,開車前往冰島北部最大的城市。,,
17:30,抵達 阿克雷里,,,入住 E18 Apartments，並在市區自由活動。,阿克雷里,"https://www.google.com/maps/place/E18+Apartments/@65.6798363,-18.1273341,13.5z/data=!4m6!3m5!1s0x48d28f0bcaf5bbff:0x137734ccf772eb74!8m2!3d65.6860049!4d-18.0884168!16s%2Fg%2F11jf9k2z17?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
18:00,阿克雷里市區探索及晚餐,步行,依個人喜好,逛逛市區，參觀阿克雷里教堂或到港口散步及享用晚餐。,,
,,,,,,
第八天：10 月 18 日（六） - 北部景點與西部峽谷,,,,,,
時間,行程,建議交通時間,建議停留時間,備註與建議,guideKey,
08:00,從 阿克雷里 出發,,,在市區用完早餐後出發。,,
09:00-11:00,阿克雷里市區探索 或 眾神瀑布 (Goðafoss),30 分鐘,2 小時,若前一天沒逛到眾神瀑布，可利用早上前往。,阿克雷里,
11:30-13:00,返回 阿克雷里 午餐時間,30 分鐘,1.5 小時,在阿克雷里市區用餐，有更多美食選擇。,,
13:00,從 阿克雷里 出發,,,根據當下情況，決定前往巨人峽谷或犀牛岩。,,
13:00-15:30,方案一：巨人峽谷 (Kolugljúfur),2.5 小時,,開往巨人峽谷的車程，請注意路況與天氣。,巨人峽谷,"https://www.google.com/maps/place/%E5%B7%A8%E4%BA%BA%E5%B3%BD%E8%B0%B7/@65.4127184,-21.1588159,8.25z/data=!4m6!3m5!1s0x48d37dc1b7cd5e49:0x5892af8508a5452e!8m2!3d65.3333817!4d-20.5712958!16s%2Fg%2F11btxj_7w1?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
13:00-15:30,方案二：犀牛岩 (Hvítserkur),2.5 小時,,開往犀牛岩的車程，路段可能較為顛簸，駕駛時需小心。,犀牛岩,"https://www.google.com/maps/place/%E7%8A%80%E7%89%9B%E7%9F%B3/@65.4127184,-21.1588159,8.25z/data=!4m6!3m5!1s0x48d35df4a4ba65c3:0x3679678406a4e5fc!8m2!3d65.6063761!4d-20.6352441!16s%2Fm%2F011smn4h?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
15:30-17:00,景點停留時間,,1.5 小時,在景點盡情拍照，享受風景。,,
17:00-18:30,前往 布扎達呂爾 (Búðardalur),1.5 小時,,從景點開往布扎達呂爾，可在天黑前抵達。,,
18:30,抵達 布扎達呂爾 (Búðardalur),,,安頓行李，並在小鎮進行補給。,,"https://www.google.com/maps/place/Kj%C3%B6rb%C3%BA%C3%B0in/@65.1149633,-21.8429118,12.75z/data=!4m6!3m5!1s0x48d4f9a3d2fae53f:0xea8629f9ca245cb4!8m2!3d65.1079814!4d-21.7627081!16s%2Fg%2F11fn6sj1__?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
19:30,晚餐時間,,,可以在小鎮準備晚餐，享受寧靜的夜晚。,,
,,,,,,
第九天：10 月 19 日（日） - 斯奈山半島全日探索 (逆時針),,,,,,
時間,行程,建議交通時間,建議停留時間,備註與建議,guideKey,
08:00,從 布扎達呂爾 出發,,,用完早餐後出發，準備以逆時針方向遊覽斯奈山半島。,,
09:00-09:30,"Good view, Snæfellsnesvegur",1 小時,30 分鐘,在開往半島的路上，可在此處停留，欣賞風景。,,"https://www.google.com/maps/place/Good+view/@65.0283583,-22.8596821,9.75z/data=!4m6!3m5!1s0x48d50f0c932a5d1b:0x2b0908c9e13768c5!8m2!3d65.0424003!4d-22.521113!16s%2Fg%2F11j1_9tqkb?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
10:00-11:00,前往 斯蒂基斯霍爾米 (Stykkishólmur),30 分鐘,1 小時,可在小鎮超市採買當天午餐與晚餐的食材。,斯蒂基斯霍爾米,"https://www.google.com/maps/place/B%C3%B3nus/@65.0283583,-22.8596821,9.75z/data=!4m6!3m5!1s0x48d50dfae9dd434f:0x39e4eac7a12e37f8!8m2!3d65.0737842!4d-22.7290252!16s%2Fg%2F1tcv5xfk?authuser=0&entry=ttu&g_ep=EgoyMDI1MDkyOC4wIKXMDSoASAFQAw%3D%3D"
